areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-09-30,29188
K02000001,United Kingdom,overview,2021-09-29,33448
K02000001,United Kingdom,overview,2021-09-28,35599
K02000001,United Kingdom,overview,2021-09-27,40788
K02000001,United Kingdom,overview,2021-09-26,31491
K02000001,United Kingdom,overview,2021-09-25,27814
K02000001,United Kingdom,overview,2021-09-24,31569
K02000001,United Kingdom,overview,2021-09-23,35212
K02000001,United Kingdom,overview,2021-09-22,36137
K02000001,United Kingdom,overview,2021-09-21,38212
K02000001,United Kingdom,overview,2021-09-20,40068
K02000001,United Kingdom,overview,2021-09-19,30523
K02000001,United Kingdom,overview,2021-09-18,26284
K02000001,United Kingdom,overview,2021-09-17,29047
K02000001,United Kingdom,overview,2021-09-16,29167
K02000001,United Kingdom,overview,2021-09-15,29931
K02000001,United Kingdom,overview,2021-09-14,30912
K02000001,United Kingdom,overview,2021-09-13,34112
K02000001,United Kingdom,overview,2021-09-12,23662
K02000001,United Kingdom,overview,2021-09-11,23188
K02000001,United Kingdom,overview,2021-09-10,28701
K02000001,United Kingdom,overview,2021-09-09,33398
K02000001,United Kingdom,overview,2021-09-08,35222
K02000001,United Kingdom,overview,2021-09-07,38017
K02000001,United Kingdom,overview,2021-09-06,44142
K02000001,United Kingdom,overview,2021-09-05,31254
K02000001,United Kingdom,overview,2021-09-04,31353
K02000001,United Kingdom,overview,2021-09-03,38016
K02000001,United Kingdom,overview,2021-09-02,41607
K02000001,United Kingdom,overview,2021-09-01,42827
K02000001,United Kingdom,overview,2021-08-31,44486
K02000001,United Kingdom,overview,2021-08-30,34172
K02000001,United Kingdom,overview,2021-08-29,25695
K02000001,United Kingdom,overview,2021-08-28,27163
K02000001,United Kingdom,overview,2021-08-27,33177
K02000001,United Kingdom,overview,2021-08-26,36986
K02000001,United Kingdom,overview,2021-08-25,38095
K02000001,United Kingdom,overview,2021-08-24,37021
K02000001,United Kingdom,overview,2021-08-23,39040
K02000001,United Kingdom,overview,2021-08-22,28300
K02000001,United Kingdom,overview,2021-08-21,28091
K02000001,United Kingdom,overview,2021-08-20,31674
K02000001,United Kingdom,overview,2021-08-19,35829
K02000001,United Kingdom,overview,2021-08-18,38009
K02000001,United Kingdom,overview,2021-08-17,37183
K02000001,United Kingdom,overview,2021-08-16,36189
K02000001,United Kingdom,overview,2021-08-15,24920
K02000001,United Kingdom,overview,2021-08-14,24649
K02000001,United Kingdom,overview,2021-08-13,28451
K02000001,United Kingdom,overview,2021-08-12,31126
K02000001,United Kingdom,overview,2021-08-11,32737
K02000001,United Kingdom,overview,2021-08-10,30928
K02000001,United Kingdom,overview,2021-08-09,31524
K02000001,United Kingdom,overview,2021-08-08,22413
K02000001,United Kingdom,overview,2021-08-07,22117
K02000001,United Kingdom,overview,2021-08-06,27540
K02000001,United Kingdom,overview,2021-08-05,31079
K02000001,United Kingdom,overview,2021-08-04,31731
K02000001,United Kingdom,overview,2021-08-03,29818
K02000001,United Kingdom,overview,2021-08-02,29270
K02000001,United Kingdom,overview,2021-08-01,20519
K02000001,United Kingdom,overview,2021-07-31,20156
K02000001,United Kingdom,overview,2021-07-30,24283
K02000001,United Kingdom,overview,2021-07-29,27899
K02000001,United Kingdom,overview,2021-07-28,29664
K02000001,United Kingdom,overview,2021-07-27,29049
K02000001,United Kingdom,overview,2021-07-26,29394
K02000001,United Kingdom,overview,2021-07-25,21776
K02000001,United Kingdom,overview,2021-07-24,22483
K02000001,United Kingdom,overview,2021-07-23,27276
K02000001,United Kingdom,overview,2021-07-22,30744
K02000001,United Kingdom,overview,2021-07-21,34934
K02000001,United Kingdom,overview,2021-07-20,39070
K02000001,United Kingdom,overview,2021-07-19,46903
K02000001,United Kingdom,overview,2021-07-18,35506
