areaCode,areaName,areaType,date,cumAdmissions,cumPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,2021-10-05,,45049953
K02000001,United Kingdom,overview,2021-10-04,,45021381
K02000001,United Kingdom,overview,2021-10-03,,44992044
K02000001,United Kingdom,overview,2021-10-02,550270,44970512
K02000001,United Kingdom,overview,2021-10-01,549604,44936121
K02000001,United Kingdom,overview,2021-09-30,548958,44901832
K02000001,United Kingdom,overview,2021-09-29,548308,44867373
K02000001,United Kingdom,overview,2021-09-28,547520,44833280
K02000001,United Kingdom,overview,2021-09-27,546763,44799748
K02000001,United Kingdom,overview,2021-09-26,545991,44766571
K02000001,United Kingdom,overview,2021-09-25,545329,44741032
K02000001,United Kingdom,overview,2021-09-24,544664,44693914
K02000001,United Kingdom,overview,2021-09-23,543941,44649155
K02000001,United Kingdom,overview,2021-09-22,543173,44604567
K02000001,United Kingdom,overview,2021-09-21,542427,44560520
K02000001,United Kingdom,overview,2021-09-20,541636,44517114
K02000001,United Kingdom,overview,2021-09-19,540832,44470772
K02000001,United Kingdom,overview,2021-09-18,540108,44435615
K02000001,United Kingdom,overview,2021-09-17,539350,44363118
K02000001,United Kingdom,overview,2021-09-16,538595,44302734
K02000001,United Kingdom,overview,2021-09-15,537710,44238761
K02000001,United Kingdom,overview,2021-09-14,536764,44175471
K02000001,United Kingdom,overview,2021-09-13,535820,44108746
K02000001,United Kingdom,overview,2021-09-12,534885,44048093
K02000001,United Kingdom,overview,2021-09-11,534024,43995478
K02000001,United Kingdom,overview,2021-09-10,533172,43897419
K02000001,United Kingdom,overview,2021-09-09,532253,43805608
K02000001,United Kingdom,overview,2021-09-08,531222,43708906
K02000001,United Kingdom,overview,2021-09-07,530061,43620946
K02000001,United Kingdom,overview,2021-09-06,528962,43535098
K02000001,United Kingdom,overview,2021-09-05,527886,43455083
K02000001,United Kingdom,overview,2021-09-04,527009,43381890
K02000001,United Kingdom,overview,2021-09-03,526061,43253337
K02000001,United Kingdom,overview,2021-09-02,525137,43142747
K02000001,United Kingdom,overview,2021-09-01,524138,43023372
K02000001,United Kingdom,overview,2021-08-31,523062,42909987
K02000001,United Kingdom,overview,2021-08-30,522067,42790585
K02000001,United Kingdom,overview,2021-08-29,521070,42723937
K02000001,United Kingdom,overview,2021-08-28,520218,42644497
K02000001,United Kingdom,overview,2021-08-27,519358,42510809
K02000001,United Kingdom,overview,2021-08-26,518421,42379353
K02000001,United Kingdom,overview,2021-08-25,517470,42234417
K02000001,United Kingdom,overview,2021-08-24,516439,42072712
K02000001,United Kingdom,overview,2021-08-23,515444,41942036
K02000001,United Kingdom,overview,2021-08-22,514481,41810753
K02000001,United Kingdom,overview,2021-08-21,513649,41694401
K02000001,United Kingdom,overview,2021-08-20,512779,41499520
K02000001,United Kingdom,overview,2021-08-19,511913,41332128
K02000001,United Kingdom,overview,2021-08-18,510970,41157069
K02000001,United Kingdom,overview,2021-08-17,510062,40987846
