Date,ETH Open,Silver Open
Sep-15,1.35348,14.62
Oct-15,0.734307,14.515
Nov-15,0.920847,15.385
Dec-15,0.878316,14.04
Jan-16,0.933712,14.1
Feb-16,2.31969,14.245
Mar-16,6.31931,14.925
Apr-16,11.4006,15.02
May-16,8.77508,17.85
Jun-16,14.1098,16
Jul-16,12.4381,18.79
Aug-16,11.8948,20.51
Sep-16,11.6705,18.7
Oct-16,13.2032,18.87
Nov-16,10.9578,18
Dec-16,8.60162,16.495
Jan-17,7.98231,16.04
Feb-17,10.7413,17.45
Mar-17,15.8472,18.295
Apr-17,50.033699,18.22
May-17,79.321602,17.185
Jun-17,230.886002,17.3
Jul-17,293.352997,16.58
Aug-17,204.688004,16.635
Sep-17,383.46701,17.565
Oct-17,301.546997,16.595
Nov-17,305.761993,16.99
Dec-17,445.209015,16.385
Jan-18,755.757019,17.155
Feb-18,1119.369995,16.705
Mar-18,856.012024,16.35
Apr-18,397.253998,16.47
May-18,670.463013,16.28
Jun-18,578.671997,16.355
Jul-18,455.242004,16.055
Aug-18,433.868988,15.42
Sep-18,283.496002,14.45
Oct-18,233.220001,14.35
Nov-18,197.537003,14.58
Dec-18,113.397758,14.21
Jan-19,133.418152,15.52
Feb-19,107.147682,16.01
Mar-19,136.836243,15.75
Apr-19,141.465485,15.295
May-19,162.186554,15.185
Jun-19,268.43335,15.942
Jul-19,290.268494,17.053
Aug-19,218.554596,16.89
Sep-19,172.458405,18.13
Oct-19,180.209122,18.699
Nov-19,183.803696,17.626
Dec-19,152.491928,18.404
Jan-20,129.630661,18.472
Feb-20,180.11377,18.725
Mar-20,219.752686,17.415
Apr-20,133.61232,15.8
May-20,207.901733,15.245
Jun-20,230.86026,19.155
Jul-20,226.134583,18.975
Aug-20,345.798615,25.575
Sep-20,434.874451,29.08
Oct-20,360.004639,23.85
Nov-20,386.590332,23.72
Dec-20,615.070313,22.81
Jan-21,737.708374,26.825
Feb-21,1314.855225,28.41
Mar-21,1417.151123,26.7
Apr-21,1919.157227,24.46
May-21,2772.838379,25.99
Jun-21,2707.560547,28.08
Jul-21,2274.397461,26.25
Aug-21,2530.462891,25.605
Sep-21,3430.762451,23.935
Oct-21,3001.129395,22.185
