Date,DOT,XRP,BNB,ETH,BTC
2020-08-20,48819867,1749934412,240389084,10043032427,20175242945
2020-08-21,49313137,1833818566,245533836,11781796374,23762425999
2020-08-22,485801096,1417207522,208053381,10131847985,20224191306
2020-08-23,320749483,1183627267,181970641,8137303970,18482062658
2020-08-24,407690171,1237229520,192633739,10328860398,20681511755
2020-08-25,898847538,1403395912,234877041,12428442042,26301509932
2020-08-26,1054351759,1194610015,255812854,9967343483,22466660958
2020-08-27,1289248953,1471948899,296206828,10457777652,23240415076
2020-08-28,727162235,1178427813,260086579,9120674421,19807127588
2020-08-29,527290028,1053592719,213897145,8777703481,17485597759
2020-08-30,485335136,1202203314,228141192,11211948040,19760127945
2020-08-31,512604781,1209798563,215511200,12774741797,22285928250
2020-09-01,601527409,1730740377,450200844,18862763756,27311555343
2020-09-02,584155028,1985414445,577817197,19691854014,28037405299
2020-09-03,763663457,1847290355,574956638,19622845896,31927261555
2020-09-04,845787793,1924234480,489923568,16747106257,29965130374
2020-09-22,673117344,1019583831,340023558,12732578043,23621787804
2020-09-23,506491669,1011343441,306156084,12047020995,22986733997
2020-09-24,390254721,1316129692,334899570,13460565701,23017536742
2020-09-25,386655790,1389150295,314771614,12254269350,21232549821
2020-09-26,306278283,1176448176,341846108,11036752997,18105012128
2020-09-27,293119418,990209623,307235511,11464393949,18016880214
2020-09-28,488750087,1312887582,367437239,12102509266,22720365389
2020-09-29,464868722,1244211927,428302897,10286529445,20459870042
2020-09-30,352534727,1161931498,398597227,9773649426,20759622010
2020-10-01,400476985,1290732679,433273407,12360670278,27178227816
2020-10-05,308852045,1739237137,303807994,9933790982,19385191766
2020-10-06,613591684,2633330450,349841520,11497841885,22264958686
2020-10-07,586290320,1486567165,282017891,10537119715,17634388529
2020-10-08,573912569,1584042829,304551407,11511016796,21962121001
2020-10-10,492038159,1957706164,426434526,13618484324,22877978588
2020-10-11,388098955,1851962086,408482939,12584512533,19968627060
2020-10-14,520198619,1954936434,460297911,13918846567,24103426719
2020-10-15,450623089,1652788747,504135680,14964182545,24487233058
2020-10-16,443295515,1656312547,546849696,14670784817,25635480772
2020-10-17,206453738,1173505925,377026508,10951115359,19130430174
2020-10-18,204108300,1238720802,440840685,11047103109,18283314340
2020-10-19,249983725,1435700560,385913101,12811242092,23860769928
2020-10-20,502694693,1526376279,493774162,13741586582,30915821592
2020-10-21,458018407,2306399543,510855830,20241324322,43414712626
2020-10-22,367309225,2827483708,530907796,15772846485,34729759598
2020-10-23,461816708,2125734863,514504830,14256222052,28974975003
2020-10-24,310306552,1590424952,407454460,12201739194,24542317940
2020-10-25,339106539,1484930709,391997739,10890207469,24406920575
2020-10-26,722990810,2390566065,624224136,15155684229,29461458313
2020-10-27,820401909,2273574015,715978374,13940434102,33749878156
2020-10-28,649971738,2375598739,477279858,15276441134,35867318895
2020-10-29,686597329,5451698743,426303252,12920477749,56499499598
2020-10-30,586577443,2364402263,531974962,13688056970,30581485201
2020-10-31,318678917,2100764094,360596998,11276963426,30306464719
2020-11-01,302861124,1855741696,338657898,10475146018,24453857900
2020-11-02,503474044,2412875798,390864652,13997574252,30771455468
2020-11-03,413471121,3052524907,457901613,12588494762,29869951617
2020-11-04,836536272,3335786074,383972480,15126077675,35116364962
2020-11-05,375265287,2949508995,299236756,15440711038,40856321439
2020-11-06,463200956,3282591092,343104562,16738305610,39837841971
2020-11-07,724809168,3395345984,362934993,18873289788,35024953706
2020-11-08,393903990,2364742336,321186882,11292383601,26632075029
2020-11-09,396903280,3079413903,335957338,13704320630,34149115566
2020-11-10,379322634,3488798458,310738349,12090381666,25574938143
2020-11-11,404513890,2811079099,279645463,14075403511,29772374934
2020-11-12,367161907,2443233108,266092376,12877327234,34175758344
2020-11-13,342519103,2989109717,292737428,13191505725,31599492172
2020-11-14,331350627,4433908911,254114574,10312037942,27481710135
