Date,Price,Open,High,Low,Vol.,Change %
02/01/2024,77,76.5,79,74.5,121.24K,0.65%
01/01/2024,76.5,75.9,77.5,75,143.19K,1.32%
12/01/2023,75.5,73,76,73,,0.67%
11/01/2023,75,71.53,79,71.53,,3.45%
10/01/2023,72.5,72.5,74,71,,-0.68%
09/01/2023,73,72.5,74,69,,2.10%
08/01/2023,71.5,73.9,76,68.5,,-4.03%
07/01/2023,74.5,74,76,72,,-1.32%
06/01/2023,75.5,74.9,75.5,73,,0.67%
05/01/2023,75,73,75.02,73,,1.35%
04/01/2023,74,74.5,75,72,,-1.33%
03/01/2023,75,73,79,71,,0.00%
02/01/2023,75,76.9,76.9,72,,-1.96%
01/01/2023,76.5,70,78,70,,10.87%
12/01/2022,69,68,72,67,,-5.48%
11/01/2022,73,77,77.1,70,,-5.19%
10/01/2022,77,78,78.5,77,,-4.35%
09/01/2022,80.5,81,81,80.5,,-3.01%
08/01/2022,83,80,84,80,,0.00%
07/01/2022,83,85,85,75,,-6.21%
06/01/2022,88.5,91,92,84,,-1.67%
05/01/2022,90,95,95,88,,-5.76%
04/01/2022,95.5,96.8,98,91,,0.00%
