Date,Bitcoin Price,Bitcoin Open,Bitcoin High,Bitcoin Low,Gold Price,Gold Open,Gold High,Gold Low
05/02/2012,5.925,5.925,5.925,5.925,1747.35,1751.9,1761.2,1733.7
12/02/2012,5.642857143,5.642857143,5.642857143,5.642857143,1732.16,1731.62,1744.38,1717.44
19/02/2012,4.485714286,4.485714286,4.485714286,4.485714286,1723.3,1724.12,1731.68,1716.56
26/02/2012,4.685714286,4.685714286,4.685714286,4.685714286,1771.775,1761.825,1777.15,1756.975
04/03/2012,4.828571429,4.828571429,4.828571429,4.828571429,1740.08,1750.6,1760.6,1721.76
11/03/2012,4.914285714,4.914285714,4.914285714,4.914285714,1693.34,1695.08,1702.12,1680.32
18/03/2012,5.242857143,5.242857143,5.242857143,5.242857143,1670,1677.94,1682.88,1659.74
25/03/2012,4.714285714,4.714285714,4.714285714,4.714285714,1653.64,1653.52,1658.96,1644.06
01/04/2012,4.8,4.8,4.8,4.8,1669.94,1669.06,1677.66,1662.1
08/04/2012,4.871428571,4.871428571,4.871428571,4.871428571,1647.075,1653.825,1660.625,1633.525
15/04/2012,4.914285714,4.914285714,4.914285714,4.914285714,1659.92,1656.48,1664.54,1645.48
22/04/2012,5.128571429,5.128571429,5.128571429,5.128571429,1644.1,1647.96,1652.36,1637.84
29/04/2012,5.042857143,5.042857143,5.042857143,5.042857143,1647.98,1646.18,1652.08,1639.74
06/05/2012,5.057142857,5.057142857,5.057142857,5.057142857,1651.48,1654.82,1658.64,1644.74
13/05/2012,4.971428571,4.971428571,4.971428571,4.971428571,1603,1610.04,1611.2,1598.68
20/05/2012,5.071428571,5.071428571,5.071428571,5.071428571,1563.94,1556.08,1566.52,1548.3
27/05/2012,5.114285714,5.114285714,5.114285714,5.114285714,1567.78,1564.6,1572.16,1560.7
03/06/2012,5.2,5.2,5.2,5.2,1573.775,1562.825,1588.525,1550.6
10/06/2012,5.5,5.5,5.5,5.5,1607.38,1614.9,1622.28,1597.36
17/06/2012,6.028571429,6.028571429,6.028571429,6.028571429,1614.34,1611.16,1619.92,1602.26
24/06/2012,6.5,6.5,6.5,6.5,1598.64,1607.88,1609.84,1592.22
01/07/2012,6.571428571,6.571428571,6.571428571,6.571428571,1578.44,1572.34,1583.3,1562.4
08/07/2012,6.671428571,6.671428571,6.671428571,6.671428571,1601.45,1602.925,1608.825,1594.625
15/07/2012,7.428571429,7.428571429,7.428571429,7.428571429,1579.92,1579.16,1586.04,1569.76
22/07/2012,8.728571429,8.728571429,8.728571429,8.728571429,1582.66,1585.46,1588.14,1577.3
29/07/2012,8.742857143,8.742857143,8.742857143,8.742857143,1598.8,1591.54,1597.22,1590.92
05/08/2012,10.21428571,10.21428571,10.21428571,10.21428571,1605.46,1609.34,1618.32,1596.66
12/08/2012,11.24285714,11.24285714,11.24285714,11.24285714,1614.46,1610.86,1617.16,1606.06
19/08/2012,11.74285714,11.74285714,11.74285714,11.74285714,1609.02,1609.32,1615.48,1600.42
26/08/2012,10.22857143,10.22857143,10.22857143,10.22857143,1647.36,1639.62,1651.16,1637.36
02/09/2012,10.55714286,10.55714286,10.55714286,10.55714286,1667.36,1663.2,1673.14,1657.04
09/09/2012,10.87142857,10.87142857,10.87142857,10.87142857,1705.95,1693.15,1710.475,1692.8
16/09/2012,11.52857143,11.52857143,11.52857143,11.52857143,1746,1742.2,1750.76,1737.64
23/09/2012,12.27142857,12.27142857,12.27142857,12.27142857,1769.66,1774.3,1775.26,1764.02
30/09/2012,12.3,12.3,12.3,12.3,1765.04,1765.38,1772.28,1758.1
07/10/2012,12.57142857,12.57142857,12.57142857,12.57142857,1780.64,1778.36,1787.44,1773.68
14/10/2012,11.91428571,11.91428571,11.91428571,11.91428571,1765.3,1769.64,1771.88,1760.48
21/10/2012,11.77142857,11.77142857,11.77142857,11.77142857,1739.66,1745.26,1747.06,1734.8
28/10/2012,11,11,11,11,1711.36,1713.56,1719.64,1707.96
04/11/2012,10.74285714,10.74285714,10.74285714,10.74285714,1704.78,1713.82,1717.46,1703.92
11/11/2012,10.87142857,10.87142857,10.87142857,10.87142857,1713.04,1706.04,1718.26,1701.98
