Date,Price,Open,High,Low,Vol.,Change %
"Nov 24, 2021",55951,57602.00,57762.00,55942.00,4.75K,-2.87%
"Nov 23, 2021",57602,56299.00,57866.20,55460.00,8.56K,2.31%
"Nov 22, 2021",56299,58790.00,59407.00,55714.00,8.83K,-4.24%
"Nov 21, 2021",58790,59739.00,60047.00,58624.00,2.44K,-1.59%
"Nov 20, 2021",59739,58130.00,59886.00,57494.40,3.13K,2.77%
"Nov 19, 2021",58130,56932.00,58379.00,55670.00,5.18K,1.96%
"Nov 18, 2021",57014,60386.10,60945.00,56559.00,11.54K,-5.58%
"Nov 17, 2021",60386.1,60124.00,60847.00,58427.00,6.72K,0.44%
"Nov 16, 2021",60124,63562.00,63562.00,58708.00,13.07K,-5.41%
"Nov 15, 2021",63562,65471.00,66320.00,63383.30,5.27K,-2.92%
"Nov 14, 2021",65471,64406.00,65471.00,63589.00,2.19K,1.65%
"Nov 13, 2021",64406,64137.00,64968.20,63405.00,1.87K,0.39%
"Nov 12, 2021",64156,64801.00,65412.00,62310.00,5.12K,-1.00%
"Nov 11, 2021",64801,64954.00,65541.00,64089.00,2.86K,-0.24%
"Nov 10, 2021",64954,66935.00,68925.00,63123.00,12.23K,-2.96%
"Nov 09, 2021",66935,67526.00,68429.00,66343.00,6.46K,-0.88%
"Nov 08, 2021",67526,63259.10,67665.00,63259.10,8.98K,6.75%
"Nov 07, 2021",63259.1,61495.00,63279.00,61400.00,3.23K,2.87%
"Nov 06, 2021",61496,61016.40,61583.00,60100.00,2.93K,0.79%
"Nov 05, 2021",61016.4,61422.80,62598.00,60746.30,2.26K,-0.66%
"Nov 04, 2021",61422.8,62904.00,63060.20,60733.00,2.93K,-2.35%
"Nov 03, 2021",62904,63249.00,63556.00,60624.00,4.76K,-0.55%
"Nov 02, 2021",63249,60927.00,64263.40,60661.00,5.20K,3.81%
"Nov 01, 2021",60927,61330.00,62485.00,59595.60,4.81K,-0.66%
"Oct 31, 2021",61330,61838.80,62414.00,60021.00,2.42K,-0.82%
"Oct 30, 2021",61838.8,62235.00,62353.00,60756.00,2.24K,-0.64%
"Oct 29, 2021",62235,60598.00,62980.00,60189.50,3.92K,2.70%
"Oct 28, 2021",60598,58453.00,62395.00,57612.00,8.07K,3.67%
"Oct 27, 2021",58453,60289.00,61447.70,58096.40,7.14K,-3.05%
"Oct 26, 2021",60290,63100.00,63306.00,59852.00,4.75K,-4.45%
"Oct 25, 2021",63100,60847.00,63666.00,60633.00,3.71K,3.70%
"Oct 24, 2021",60847,61302.00,61471.00,59537.00,2.88K,-0.74%
"Oct 23, 2021",61302,60708.00,61731.00,59762.00,2.71K,0.98%
"Oct 22, 2021",60708,62200.00,63708.00,60045.00,6.35K,-2.40%
"Oct 21, 2021",62200,65988.00,66643.00,62100.00,13.37K,-5.74%
"Oct 20, 2021",65988,64263.00,66927.00,63536.00,9.26K,2.73%
"Oct 19, 2021",64237,62034.00,64418.00,61441.10,9.15K,3.55%
"Oct 18, 2021",62034,61504.00,62661.00,59948.00,8.56K,0.85%
