Date,OpenBTC,HighBTC,LowBTC,CloseBTC,VolumeBTC,CurrencyBTC,OpenGold,HighGold,LowGold,CloseGold,VolumeGold,CurrencyGold
2010-07-19,0.1,0.1,0.1,0.1,574,USD,1182.2,1182.2,1180.0,1181.7,4.0,USD
2010-07-20,0.1,0.1,0.1,0.1,262,USD,1183.2,1191.6,1181.5,1191.5,8.0,USD
2010-07-21,0.1,0.1,0.1,0.1,575,USD,1190.7,1194.5,1184.1,1191.6,24.0,USD
2010-07-22,0.1,0.1,0.1,0.1,2160,USD,1194.4,1196.0,1194.4,1195.5,79.0,USD
2010-07-23,0.1,0.1,0.1,0.1,2403,USD,1193.7,1198.6,1188.0,1187.7,32.0,USD
2010-07-24,0.1,0.1,0.1,0.1,496,USD,,,,,,
2010-07-25,0.1,0.1,0.1,0.1,1551,USD,,,,,,
2010-07-26,0.1,0.1,0.1,0.1,877,USD,1192.6,1192.6,1182.2,1183.0,37.0,USD
2010-07-27,0.1,0.1,0.1,0.1,3374,USD,1174.0,1174.2,1162.7,1158.0,29.0,USD
2010-07-28,0.1,0.1,0.1,0.1,4390,USD,1159.8,1159.8,1159.8,1160.4,1.0,USD
2010-07-29,0.1,0.1,0.1,0.1,8058,USD,1163.8,1169.2,1158.7,1168.4,54384.0,USD
2010-07-30,0.1,0.1,0.1,0.1,3021,USD,1168.2,1183.1,1165.8,1181.7,5466.0,USD
2010-07-31,0.1,0.1,0.1,0.1,4022,USD,,,,,,
2010-08-01,0.1,0.1,0.1,0.1,2601,USD,,,,,,
2010-08-02,0.1,0.1,0.1,0.1,3599,USD,1181.8,1191.8,1174.7,1183.4,2504.0,USD
2010-08-03,0.1,0.1,0.1,0.1,9821,USD,1183.8,1190.5,1180.0,1185.2,598.0,USD
2010-08-04,0.1,0.1,0.1,0.1,3494,USD,1186.3,1203.0,1186.3,1193.7,1068.0,USD
2010-08-05,0.1,0.1,0.1,0.1,5034,USD,1194.3,1199.5,1190.0,1197.2,214.0,USD
2010-08-06,0.1,0.1,0.1,0.1,1395,USD,1195.4,1211.0,1195.3,1203.4,347.0,USD
2010-08-07,0.1,0.1,0.1,0.1,2619,USD,,,,,,
2010-08-08,0.1,0.1,0.1,0.1,2201,USD,,,,,,
2010-08-09,0.1,0.1,0.1,0.1,13631,USD,1205.8,1209.6,1199.8,1200.7,658.0,USD
2010-08-10,0.1,0.1,0.1,0.1,1310,USD,1200.5,1206.5,1191.0,1196.2,713.0,USD
2010-08-11,0.1,0.1,0.1,0.1,14061,USD,1202.8,1208.0,1193.0,1197.5,351.0,USD
2010-08-12,0.1,0.1,0.1,0.1,2062,USD,1200.5,1215.5,1199.0,1214.8,289.0,USD
2010-08-13,0.1,0.1,0.1,0.1,3592,USD,1212.8,1216.0,1212.5,1214.9,138.0,USD
2010-08-14,0.1,0.1,0.1,0.1,4404,USD,,,,,,
2010-08-15,0.1,0.1,0.1,0.1,4463,USD,,,,,,
2010-08-16,0.1,0.1,0.1,0.1,10731,USD,1218.0,1225.4,1218.0,1224.5,252.0,USD
2010-08-17,0.1,0.1,0.1,0.1,13186,USD,1227.4,1227.4,1224.0,1226.6,84.0,USD
2010-08-18,0.1,0.1,0.1,0.1,2954,USD,1226.0,1231.6,1218.0,1229.7,169.0,USD
2010-08-19,0.1,0.1,0.1,0.1,741,USD,1229.6,1237.6,1228.8,1233.8,46.0,USD
2010-08-20,0.1,0.1,0.1,0.1,4200,USD,1232.5,1232.8,1223.0,1227.2,236.0,USD
2010-08-21,0.1,0.1,0.1,0.1,10444,USD,,,,,,
2010-08-22,0.1,0.1,0.1,0.1,18649,USD,,,,,,
2010-08-23,0.1,0.1,0.1,0.1,4297,USD,1228.9,1228.9,1222.9,1226.9,56.0,USD
2010-08-24,0.1,0.1,0.1,0.1,6712,USD,1223.0,1234.0,1211.5,1231.8,300.0,USD
2010-08-25,0.1,0.1,0.1,0.1,4229,USD,1230.7,1240.7,1230.7,1239.5,298.0,USD
2010-08-26,0.1,0.1,0.1,0.1,3870,USD,1240.9,1243.3,1235.0,1235.4,104.0,USD
2010-08-27,0.1,0.1,0.1,0.1,9010,USD,1235.7,1241.9,1234.8,1236.0,32.0,USD
2010-08-28,0.1,0.1,0.1,0.1,6174,USD,,,,,,
2010-08-29,0.1,0.1,0.1,0.1,3173,USD,,,,,,
2010-08-30,0.1,0.1,0.0,0.1,34193,USD,1237.1,1237.9,1234.0,1237.1,128.0,USD
2010-08-31,0.1,0.1,0.1,0.1,14887,USD,1237.1,1249.4,1233.0,1248.3,124.0,USD
2010-09-01,0.1,0.1,0.1,0.1,7165,USD,1252.3,1254.3,1243.6,1246.3,41.0,USD
2010-09-02,0.1,0.1,0.1,0.1,8151,USD,1247.1,1252.5,1246.9,1251.5,100.0,USD
2010-09-03,0.1,0.1,0.1,0.1,892,USD,1240.0,1247.4,1240.0,1249.2,3.0,USD
2010-09-04,0.1,0.1,0.1,0.1,3301,USD,,,,,,
2010-09-05,0.1,0.1,0.1,0.1,8459,USD,,,,,,
2010-09-06,0.1,0.1,0.1,0.1,910,USD,,,,,,
2010-09-07,0.1,0.1,0.1,0.1,3457,USD,1256.1,1258.0,1248.9,1257.3,7.0,USD
2010-09-08,0.1,0.1,0.1,0.1,2345,USD,1260.2,1260.2,1254.7,1255.6,27.0,USD
2010-09-09,0.1,0.1,0.1,0.1,1734,USD,1253.9,1256.4,1244.1,1248.9,9.0,USD
2010-09-10,0.1,0.1,0.1,0.1,4940,USD,1239.0,1249.6,1239.0,1244.5,20.0,USD
2010-09-11,0.1,0.1,0.1,0.1,7749,USD,,,,,,
2010-09-12,0.1,0.1,0.1,0.1,794,USD,,,,,,
2010-09-13,0.1,0.1,0.1,0.1,10076,USD,1242.6,1247.0,1242.6,1245.1,18.0,USD
2010-09-14,0.1,0.2,0.1,0.1,14015,USD,1253.8,1272.4,1253.4,1269.7,87.0,USD
2010-09-15,0.1,0.1,0.1,0.1,3652,USD,1268.4,1269.8,1263.5,1266.7,34.0,USD
2010-09-16,0.1,0.1,0.1,0.1,730,USD,1268.7,1275.2,1266.6,1271.9,37.0,USD
2010-09-17,0.1,0.1,0.1,0.1,7262,USD,1275.8,1279.6,1273.8,1275.6,54.0,USD
2010-09-18,0.1,0.1,0.1,0.1,7093,USD,,,,,,
2010-09-19,0.1,0.1,0.1,0.1,12852,USD,,,,,,
2010-09-20,0.1,0.1,0.1,0.1,14308,USD,1281.7,1282.0,1279.3,1279.0,27.0,USD
2010-09-21,0.1,0.1,0.1,0.1,5736,USD,1278.2,1289.8,1271.8,1272.4,56.0,USD
2010-09-22,0.1,0.1,0.1,0.1,11560,USD,1293.5,1294.5,1288.5,1290.2,17.0,USD
