Date,Price,Open,High,Low,Vol,Change
"Nov 24, 2021",1782.40,1791.60,1796.25,1778.10,-,-0.08%
"Nov 23, 2021",1783.80,1807.10,1812.50,1781.70,-,-1.25%
"Nov 22, 2021",1806.30,1848.30,1850.40,1802.40,352.86K,-2.45%
"Nov 19, 2021",1851.60,1860.80,1868.10,1844.20,234.08K,-0.53%
"Nov 18, 2021",1861.40,1869.50,1873.30,1856.60,186.06K,-0.47%
"Nov 17, 2021",1870.20,1851.60,1870.60,1851.10,172.42K,0.87%
"Nov 16, 2021",1854.10,1864.90,1879.50,1851.00,220.43K,-0.67%
"Nov 15, 2021",1866.60,1872.60,1873.00,1858.50,221.21K,-0.10%
"Nov 12, 2021",1868.50,1864.30,1871.40,1847.50,201.36K,0.25%
"Nov 11, 2021",1863.90,1851.50,1868.70,1845.10,205.31K,0.84%
"Nov 10, 2021",1848.30,1834.50,1870.60,1823.00,352.79K,0.96%
"Nov 09, 2021",1830.80,1826.90,1834.80,1821.00,224.41K,0.15%
"Nov 08, 2021",1828.00,1820.60,1828.30,1813.80,200.41K,0.62%
"Nov 05, 2021",1816.80,1792.60,1820.10,1785.30,299.62K,1.30%
"Nov 04, 2021",1793.50,1769.90,1800.30,1769.30,222.61K,1.68%
"Nov 03, 2021",1763.90,1789.20,1789.30,1758.50,257.43K,-1.43%
"Nov 02, 2021",1789.40,1794.80,1797.80,1787.40,145.79K,-0.36%
"Nov 01, 2021",1795.80,1785.30,1797.50,1780.20,143.33K,0.67%
"Oct 29, 2021",1783.90,1801.50,1802.90,1772.40,254.51K,-1.04%
"Oct 28, 2021",1802.60,1798.70,1812.70,1793.10,220.88K,0.21%
"Oct 27, 2021",1798.80,1795.00,1801.00,1784.30,182.80K,0.30%
"Oct 26, 2021",1793.40,1808.70,1809.80,1783.00,197.93K,-0.74%
"Oct 25, 2021",1806.80,1794.20,1811.50,1793.00,153.59K,0.58%
"Oct 22, 2021",1796.30,1783.70,1815.50,1783.40,312.81K,0.81%
"Oct 21, 2021",1781.90,1782.50,1790.30,1776.80,138.73K,-0.17%
"Oct 20, 2021",1784.90,1769.40,1789.60,1767.10,174.08K,0.81%
